municipio_112cv,cod_ine_mun,review_categories,icv_noms_mun_observed,decision,reviewed_at,review_note
Ademuz,46001,required_sample,Ademuz,approved,2026-07-18,Muestra mínima contrastada con la fila ICV y el código oficial.
Alacant/Alicante,03014,required_sample;bilingual,Alacant/Alicante,approved,2026-07-18,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Alboraia/Alboraya,46013,bilingual,Alboraia/Alboraya,approved,2026-07-18,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Alcoi/Alcoy,03009,bilingual,Alcoi/Alcoy,approved,2026-07-18,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
"Alcora, l'",12005,postposed_article,l'Alcora,approved,2026-07-18,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Alcúdia de Crespins, l'",46020,postposed_article,l'Alcúdia de Crespins,approved,2026-07-18,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Alcúdia, l'",46019,postposed_article,l'Alcúdia,approved,2026-07-18,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Alfarp,46026,alias,Alfarb,approved,2026-07-18,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
"Alfàs del Pi, l'",03011,postposed_article,l'Alfàs del Pi,approved,2026-07-18,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Algar de Palancia,46028,alias,Algar de Palància,approved,2026-07-18,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
"Alqueria d'Asnar, l'",03017,postposed_article,l'Alqueria d'Asnar,approved,2026-07-18,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Alqueria de la Comtessa, l'",46037,postposed_article,l'Alqueria de la Comtessa,approved,2026-07-18,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Alqueries, les/Alquerías del Niño Perdido",12901,bilingual;postposed_article;alias,les Alqueries/Alquerías del Niño Perdido,approved,2026-07-18,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
"Atzúbia, l'",03001,postposed_article,l'Atzúbia,approved,2026-07-18,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Benicàssim/Benicasim,12028,bilingual,Benicàssim/Benicasim,approved,2026-07-18,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Borriana/Burriana,12032,bilingual,Borriana/Burriana,approved,2026-07-18,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
"Camp de Mirra, el/Campo de Mirra",03051,bilingual;postposed_article;alias,el Camp de Mirra/Campo de Mirra,approved,2026-07-18,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
"Campello, el",03050,postposed_article,el Campello,approved,2026-07-18,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
