municipio_112cv,id_zona_previfoc,icv_cod_ine_mun,icv_nom_mun,icv_nom_mun_cas,icv_nom_mun_val,icv_noms_mun,match_method,match_fields,alias_reason,review_status,review_categories,review_note
Ademuz,56,46001,Ademuz,Ademuz,Ademuz,Ademuz,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,reviewed,required_sample,Muestra mínima contrastada con la fila ICV y el código oficial.
Ador,58,46002,Ador,Ador,Ador,Ador,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Agost,59,03002,Agost,Agost,Agost,Agost,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Agres,58,03003,Agres,Agres,Agres,Agres,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Agullent,58,46004,Agullent,Agullent,Agullent,Agullent,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Aielo de Malferit,58,46042,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,Aielo de Malferit,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Aielo de Rugat,58,46043,Aielo de Rugat,Aielo de Rugat,Aielo de Rugat,Aielo de Rugat,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Aigües,59,03004,Aigües,Aigües,Aigües,Aigües,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Alacant/Alicante,59,03014,Alacant,Alicante,Alacant,Alacant/Alicante,exact_variant,noms_mun,,reviewed,required_sample;bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Alaquàs,57,46005,Alaquàs,Alaquàs,Alaquàs,Alaquàs,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Albaida,58,46006,Albaida,Albaida,Albaida,Albaida,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
